repo_name,pr_number
bndtools/bnd,2910
ProjectKorra/ProjectKorra,156
broadinstitute/picard,236
forcedotcom/SalesforceMobileSDK-CordovaPlugin,74
GlowstoneMC/Glowstone,581
Realm/realm-java,4559
Azure/azure-sdk-for-java,2968
sonatype/nexus-oss,827
DroidPlanner/Tower,544
dkomanov/fizteh-java-task,25
Ensembl/ensj-healthcheck,130
aerogear/aerogear-unifiedpush-server,349
JabRef/jabref,3726
lightblue-platform/lightblue-client,314
owncloud/android,2333
jenkinsci/remoting,58
helun/Ektorp,89
syncthing/syncthing-android,740
apache/incubator-brooklyn,897
jenkinsci/git-client-plugin,386
Sage-Bionetworks/BridgePF,1503
internetarchive/heritrix3,121
kohsuke/github-api,123
ReactiveX/RxJava,4793
OpenMRS/openmrs-module-coreapps,82
twilio/twilio-java,421
sleuthkit/autopsy,4340
arquillian/arquillian-cube,927
OpenNMS/opennms,1528
apache/incubator-brooklyn,181
mockito/mockito,1307
umple/Umple,637
go-lang-plugin-org/go-lang-idea-plugin,653
guardianproject/ChatSecureAndroid,345
AzureAD/azure-activedirectory-library-for-android,131
hibernate/hibernate-search,94
eclipse/birt,13
joelittlejohn/jsonschema2pojo,558
rundeck/rundeck,4600
connectbot/connectbot,230
mockito/mockito,897
broadinstitute/picard,1244
ProjectKorra/ProjectKorra,383
apache/struts,130
embulk/embulk,930
craftercms/engine,212
lobid/lodmill,777
muzima/muzima-android,199
perfectsense/brightspot-cms,769
DSpace/DSpace,1384
digitalgreenorg/dg,924
OHDSI/WebAPI,959
strongbox/strongbox,924
zk1931/jzab,153
groovy/groovy-core,161
entando/entando-components,455
apache/cayenne,251
runtimeverification/javamop,140
codelibs/fess,2049
cgeo/cgeo,6393
HubSpot/Singularity,903
deegree/deegree3,181
rundeck/rundeck,3385
UniversalMediaServer/UniversalMediaServer,442
temenostech/IRIS,534
jbosstools/jbosstools-openshift,1740
usergrid/usergrid,217
glyptodon/guacamole-client,218
dana-i2cat/opennaas,876
Jasig/uPortal,573
digitalgreenorg/dg,164
wocommunity/wonder,555
samarthgupta437/falcon-regression,314
mambu-gmbh/Mambu-APIs-Java,174
Adobe-Consulting-Services/acs-aem-commons,1323
jboss-switchyard/tools,6
springfox/springfox,158
brooklyncentral/brooklyn,393
deeplearning4j/nd4j,2512
MyRobotLab/myrobotlab,266
appium/appium-adb,79
Realm/realm-java,5858
ChangeOrientedProgrammingEnvironment/eclipseRecorder,86
cbeust/testng,919
OpenNMS/opennms,2035
molgenis/molgenis,6401
awslabs/amazon-kinesis-client,152
GlowstoneMC/Glowstone,658
intermine/intermine,1007
zxing/zxing,591
qiniu/java-sdk,78
Netflix/astyanax,349
rstudio/rstudio,1414
bonitasoft/bonita-web,48
apache/accumulo,955
dbfit/dbfit,355
couchbase/couchbase-lite-java-core,1203
eclipse/smarthome,5579
dianping/cat,138
openmicroscopy/bioformats,2460
Adobe-Consulting-Services/acs-aem-commons,510
jenkinsci/script-security-plugin,20
wallabag/android-app,669
romannurik/muzei,411
grpc/grpc-java,4289
eclipse/jetty.project,2477
geoserver/geoserver,2667
mapzen/open,120
mcMMO-Dev/mcMMO,324
igniterealtime/Openfire,508
terasolunaorg/terasoluna-tourreservation,117
sonyxperiadev/BacklogTool,106
sinkillerj/ProjectE,482
FlansMods/FlansMod,721
rectangle-dbmi/Realtime-Port-Authority,172
eclipse/smarthome,5751
Netflix/iep,225
usergrid/usergrid,86
antlr/antlr4,1011
eclipse/jetty.project,3267
Sage-Bionetworks/BridgePF,1430
HubSpot/Singularity,1442
mixpanel/mixpanel-android,252
the-blue-alliance/the-blue-alliance-android,710
emojidex/emojidex-android,139
magefree/mage,5265
bugsnag/bugsnag-android,364
CeON/CoAnSys,74
perfectsense/dari,256
azkaban/azkaban,1943
Catrobat/Paintroid,202
