repo_name,pr_number
Parabot/Parabot,290
igniterealtime/Openfire,791
Adobe-Consulting-Services/acs-aem-commons,591
FasterXML/jackson-databind,145
sinkillerj/ProjectE,208
DigitalPebble/storm-crawler,172
JabRef/jabref,3766
igniterealtime/Openfire,595
bndtools/bndtools,1697
asakusafw/asakusafw,631
infinispan/infinispan,6350
glyptodon/guacamole-client,355
elastic/elasticsearch,37269
connectbot/connectbot,178
JabRef/jabref,3878
googlemaps/android-maps-utils,25
gradle/gradle,8222
SmartBear/soapui,36
UNC-Libraries/Carolina-Digital-Repository,380
MilkBowl/Vault,203
bigbluebutton/bigbluebutton,6226
HubSpot/Singularity,1311
dropwizard/dropwizard,1009
wso2/product-greg,564
mambu-gmbh/Mambu-APIs-Java,143
lexevs/lexevs,37
rectangle-dbmi/Realtime-Port-Authority,39
sinkillerj/ProjectE,1568
resteasy/Resteasy,1570
pushtorefresh/storio,840
valotrading/stirling,81
FluentLenium/FluentLenium,10
devhub-tud/DevHub,431
umd-lib/drum,37
jMonkeyEngine/jmonkeyengine,268
Catrobat/Paintroid,101
DroidPlanner/Tower,1090
Netflix/iep,356
robworth/patientview,146
hawkular/hawkular-metrics,465
VHAINNOVATIONS/ASRCM,141
xetorthio/jedis,1642
cyclestreets/android,254
BuildCraft/BuildCraft,768
atlasapi/atlas-model,317
Netflix/Priam,664
Graylog2/graylog2-server,3345
muzima/muzima-android,121
mapfish/mapfish-print,831
MovingBlocks/Terasology,3163
cbeust/testng-eclipse,112
xwiki/xwiki-platform,776
bndtools/bnd,2018
DigitalPebble/storm-crawler,174
MIT-Mobile/MIT-Mobile-for-Android,89
haiwen/seadroid,74
jenkinsci/acceptance-test-harness,300
hibernate/hibernate-search,243
pahimar/Equivalent-Exchange-3,433
groovy/groovy-core,329
eclipse/californium,410
xetorthio/jedis,1763
Realm/realm-java,3313
wso2/carbon-appmgt,193
pantsbuild/intellij-pants-plugin,297
SpectraLogic/ds3,552
gdg-x/frisbee,699
ehcache/ehcache3,1159
Graylog2/graylog2-server,3523
biojava/biojava,774
eclipse/smarthome,5410
neo4j/neo4j,10689
sonatype/nexus-oss,138
apache/jena,327
jclouds/legacy-jclouds,453
quran/quran,893
zxing/zxing,514
Graylog2/graylog2-server,4720
terasolunaorg/terasoluna-gfw,407
arquillian/arquillian-cube,531
bndtools/bnd,2964
gradle/gradle,6719
mcMMO-Dev/mcMMO,298
lenskit/lenskit,716
square/dagger,37
rstudio/rstudio,3713
ethereum/ethereumj,35
pentaho/data-access,233
hibernate/hibernate-search,968
karma-exchange-org/karma-exchange,351
B3Partners/brmo,325
dropwizard/dropwizard,1331
lstephen/ootp-ai,149
OHDSI/WebAPI,400
webbukkit/dynmap,350
deeplearning4j/nd4j,2718
sinkillerj/ProjectE,1133
groupon/odo,96
OpenRefine/OpenRefine,1069
HubSpot/Singularity,1394
azkaban/azkaban,777
asciidoctor/asciidoctorj,652
owncloud/android,2397
tastybento/askyblock,635
Esri/arcgis-runtime-samples-java,209
DigitalPebble/storm-crawler,410
javaparser/javaparser,1119
mulesoft/mule,7633
bigbluebutton/bigbluebutton,6711
dita-ot/dita-ot,1953
terasolunaorg/terasoluna-gfw-functionaltest,641
ninetwozero/com.ninetwozero.bf4intel,65
akvo/akvo-flow,1833
mballance/sveditor,325
pcgen/pcgen,4813
bigbluebutton/bigbluebutton,6714
hawkular/hawkular-metrics,856
pcgen/pcgen,5006
dana-i2cat/opennaas,221
hibernate/hibernate-search,1578
telefonicaid/fiware-cygnus,1042
Spoutcraft/Spoutcraft,108
teiid/teiid,26
grpc/grpc-java,3852
jamesagnew/hapi-fhir,909
sevntu-checkstyle/sevntu.checkstyle,603
wildfly-security/wildfly-elytron,633
kbase/workspace,73
sonatype/nexus-oss,16
akvo/akvo-flow,1930
SleepyTrousers/EnderIO,1870
aerogear/aerogear-unifiedpush-server,1003
akvo/akvo-flow,1986
caelum/mamute,11
openpnp/openpnp,456
TGAC/miso-lims,1464
connectbot/connectbot,307
geoserver/geoserver,2500
hltfbk/Excitement-Open-Platform,521
asakusafw/asakusafw,799
ooici/ion-definitions,247
liato/android-bankdroid,514
broadinstitute/picard,907
apache/struts,337
FlansMods/FlansMod,798
matrix-org/matrix-android-sdk,437
TGAC/miso-lims,1294
dana-i2cat/opennaas,458
biojava/biojava,152
researchstudio-sat/webofneeds,1543
rstudio/rstudio,2034
bndtools/bnd,1720
google/uribeacon,75
mybatis/mybatis-3,680
Graylog2/graylog2-server,5053
SpectraLogic/ds3,392
getlantern/lantern,877
graphhopper/graphhopper,1546
basho/riak-java-client,92
jmxtrans/jmxtrans,84
researchstudio-sat/webofneeds,750
aerogear/aerogear-unifiedpush-server,112
yegor256/netbout,660
DSpace/DSpace,1327
strongbox/strongbox,492
embulk/embulk,278
quran/quran,883
locationtech/udig-platform,248
wallabag/android-app,741
umple/Umple,1416
ReactiveX/RxNetty,27
sonatype/nexus-oss,784
saros-project/saros,330
researchstudio-sat/webofneeds,1002
rundeck/rundeck,2206
e-ucm/ead,363
KKBOX/android,40
AzureAD/azure-activedirectory-library-for-android,669
lexevs/lexevs,253
brooklyncentral/brooklyn,442
caelum/vraptor4,377
simpligility/android-maven-plugin,481
einsteinx2/WaveBox,86
Silverpeas/Silverpeas-Core,621
candlepin/candlepin,2181
bonitasoft/bonita-studio,136
biojava/biojava,381
wso2/carbon-analytics,531
rackerlabs/repose,1297
proofpoint/platform,547
demoiselle/behave,212
JSQLParser/JSqlParser,305
zanata/zanata-server,982
mixpanel/mixpanel-android,430
pentaho/big-data-plugin,1452
researchstudio-sat/webofneeds,2500
CorfuDB/CorfuDB,315
ooyala/android-sample-apps,322
Maescool/Catacomb-Snatch,775
ooici/ion-definitions,161
project-ncl/pnc,2253
datacleaner/DataCleaner,388
wildfly/wildfly-core,3465
gradle/gradle,7386
intermine/intermine,1159
brooklyncentral/brooklyn,787
opencog/relex,48
MovingBlocks/Terasology,2175
akvo/akvo-flow,2580
querydsl/querydsl,999
lutece-platform/lutece-core,50
atlasapi/atlas-model,70
AltBeacon/android-beacon-library,333
neo4j/neo4j,11327
simpligility/android-maven-plugin,97
javaparser/javaparser,773
Deadrik/TFCraft,31
MovingBlocks/Terasology,3353
eclipse/smarthome,6450
addthis/hydra,207
OpenNMS/opennms,1890
SonarSource/sonarqube,2079
atlasapi/atlas-model,114
Activiti/Activiti,98
eXist-db/exist,1204
MovingBlocks/Terasology,1797
dbfit/dbfit,372
simpligility/android-maven-plugin,29
ReactiveX/RxJava,4224
cyclestreets/android,292
HUSACCT/HUSACCT,83
freenet/fred,631
FenixEdu/fenixedu-academic,617
telefonicaid/fiware-cygnus,310
SleepyTrousers/EnderIO,3839
square/sqlbrite,220
hibernate/hibernate-orm,90
k9mail/k-9,2545
togglz/togglz,79
SpectraLogic/ds3,356
kaazing/gateway,533
pentaho/pentaho-reporting,650
hpcc-systems/EclipsePlugin,178
Dynious/RefinedRelocation,147
shilad/wikibrain,73
jenkinsci/script-security-plugin,171
researchstudio-sat/webofneeds,1537
apache/incubator-brooklyn,737
bonitasoft/bonita-studio,267
deeplearning4j/nd4j,1459
terasolunaorg/terasoluna-gfw-functionaltest,123
JSQLParser/JSqlParser,460
xwiki/xwiki-platform,739
atlasapi/atlas,1347
SmartBear/soapui,346
molgenis/molgenis,418
DroidPlanner/Tower,894
sonatype/nexus-oss,127
cyclestreets/android,341
JabRef/jabref,3821
brooklyncentral/brooklyn,1478
KronicDeth/intellij-elixir,545
datacleaner/DataCleaner,946
AEFeinstein/mtg-familiar,74
dana-i2cat/opennaas,990
ProjectKorra/ProjectKorra,301
mozilla/rhino,42
azkaban/azkaban,1249
DSpace/DSpace,1406
undertow-io/undertow,69
Sable/soot,895
celements/celements-core,1
searchbox-io/Jest,511
Qabel/qabel-core,129
segmentio/analytics-android,322
jMonkeyEngine/jmonkeyengine,559
xetorthio/jedis,902
romannurik/muzei,114
myui/hivemall,105
einsteinx2/WaveBox,80
AzureAD/azure-activedirectory-library-for-android,1296
scireum/sirius-web,453
pentaho/pentaho-platform,3920
calabash/calabash-android,65
telefonicaid/fiware-sdc,117
kamegami13/MonsterHunter4UDatabase,80
jboss-fuse/fabric8,1057
deegree/deegree3,406
pcgen/pcgen,4386
jclouds/legacy-jclouds,496
datacleaner/DataCleaner,513
biojava/biojava,118
jclouds/legacy-jclouds,363
intermine/intermine,1748
lecture2go/plugins-sdk-6.2,311
lstephen/ootp-ai,231
relayrides/pushy,368
valotrading/stirling,78
grpc/grpc-java,4468
zenoss/query,1
OceanLabs/Android-Print-SDK,187
DSpace/DSpace,1363
Crate/crate,8056
hibernate/hibernate-validator,23
veloce/lichobile,626
kbase/workspace,19
Crate/crate,8117
greenqloud/cloudstack,70
gradle/gradle,6508
jbosstools/jbosstools-integration-tests,1642
wso2/carbon-analytics,942
ProjectKorra/ProjectKorra,392
openMF/android-client,995
temenostech/IRIS,215
deeplearning4j/deeplearning4j,6120
HubTurbo/HubTurbo,1490
mockito/mockito,238
forcedotcom/SalesforceMobileSDK-CordovaPlugin,38
HubSpot/Singularity,1164
project-ncl/pnc,1322
couchbase/couchbase-lite-java-core,505
rackerlabs/atom-hopper,232
entando/entando-core,771
DenizenScript/Denizen-for-Bukkit,758
jenkinsci/remoting,288
brooklyncentral/brooklyn,608
glyptodon/guacamole-client,253
the-blue-alliance/the-blue-alliance-android,87
A24Group/ssGWT-lib,98
Esri/military-features-data,144
strongbox/strongbox,469
xwiki/xwiki-rendering,34
brooklyncentral/brooklyn,516
eclipse/smarthome,6725
SpongePowered/SpongeAPI,1832
researchstudio-sat/webofneeds,2257
redline-smalltalk/redline-smalltalk,114
researchstudio-sat/webofneeds,1654
pahimar/Equivalent-Exchange-3,296
SpectraLogic/ds3,87
xwiki/xwiki-platform,149
proofpoint/platform,1
Awful/Awful.apk,72
gxa/gxa,11
wso2/carbon-appmgt,683
pentaho/pentaho-commons-gwt-modules,654
bndtools/bndtools,938
relayrides/pushy,19
akvo/akvo-flow,2534
mockito/mockito,885
davidB/scala-maven-plugin,174
brooklyncentral/clocker,364
perfectsense/brightspot-cms,270
ProjectKorra/ProjectKorra,960
researchstudio-sat/webofneeds,1715
liato/android-bankdroid,110
edx/edx-app-android,124
spockframework/spock,841
Esri/arcgis-runtime-samples-java,91
thargor6/JWildfire,30
realtalk403/realtalk,155
CorfuDB/CorfuDB,1606
jbake-org/jbake,413
sleuthkit/autopsy,4054
rackerlabs/blueflood,590
grails/grails-core,453
grails/grails-core,398
eirslett/frontend-maven-plugin,259
jenkinsci/acceptance-test-harness,224
Unidata/thredds,722
UNC-Libraries/Carolina-Digital-Repository,255
pentaho/pentaho-reporting,798
bonitasoft/bonita-engine,42
debrief/debrief,3723
Sable/soot,635
eclipse/smarthome,6176
ArcBees/GWTP,52
essentials/Essentials,736
wso2/carbon-analytics,1333
UW-Madison-DoIT/hrs-portlets,179
OHDSI/WebAPI,632
jbosstm/narayana,1334
AEFeinstein/mtg-familiar,277
resthub/resthub-spring-stack,113
HubTurbo/HubTurbo,1125
DozerMapper/dozer,643
SpectraLogic/ds3,78
perfectsense/brightspot-cms,1051
l0rdn1kk0n/wicket-bootstrap,318
ooyala/android-sample-apps,190
georchestra/georchestra,1474
OpenIndiana/oi-userland,4130
devhub-tud/DevHub,468
smartdevicelink/sdl,70
deeplearning4j/deeplearning4j,7141
GoogleCloudPlatform/DataflowJavaSDK,365
jeremylong/DependencyCheck,739
molgenis/molgenis,40
immutables/immutables,218
deegree/deegree3,469
wso2/carbon-analytics,1289
Rajawali/Rajawali,576
greese/dasein-cloud-aws,49
syncthing/syncthing-android,1209
helun/Ektorp,72
Esri/arcgis-runtime-samples-java,308
tvrenamer/tvrenamer,279
apache/incubator-brooklyn,524
Azure/azure-sdk-for-java,1338
rackerlabs/repose,1813
openpixi/openpixi,78
intermine/intermine,1279
matrix-org/matrix-android-sdk,275
azkaban/azkaban,158
sonatype/nexus,406
lenskit/lenskit,796
mapzen/open,172
apache/accumulo,890
stripe/stripe-java,651
liato/android-bankdroid,337
hibernate/hibernate-validator,847
abarisain/dmix,302
querydsl/querydsl,1481
spotify/docker-client,12
BroadleafCommerce/BroadleafCommerce,1623
cbeust/testng,1467
rackerlabs/blueflood,130
edx/edx-app-android,618
perfectsense/brightspot-cms,312
siacs/Conversations,467
cbeust/testng-eclipse,30
smartdevicelink/sdl,812
telefonicaid/fiware-cygnus,872
novoda/merlin,69
brooklyncentral/brooklyn,962
UNC-Libraries/Carolina-Digital-Repository,758
rackerlabs/repose,1924
eclipse/smarthome,5605
payara/Payara,3350
antlr/antlr4,650
52North/WPS,42
mulesoft/mule-extensions-api,341
kite-sdk/kite,114
MovingBlocks/Terasology,1642
lutece-platform/lutece-core,119
aerogear/aerogear-unifiedpush-server,364
researchstudio-sat/webofneeds,2558
caelum/vraptor4,880
biojava/biojava,218
killbill/killbill,974
JabRef/jabref,2740
Dynious/RefinedRelocation,37
magefree/mage,3303
k9mail/k-9,2444
jitsi/jicofo,302
azkaban/azkaban,1544
quran/quran,473
waarp/WaarpCommon,26
B3Partners/brmo,93
square/okhttp,1555
t-oster/VisiCut,387
usgs/nshmp-haz,393
lightblue-platform/lightblue-client,87
alibaba/druid,17
embulk/embulk-output-jdbc,177
cgeo/cgeo,5368
jenkinsci/jira-plugin,79
telefonicaid/fiware-sdc,228
xwiki/xwiki-platform,616
OHDSI/WebAPI,262
Awful/Awful.apk,228
DroidPlanner/Tower,131
Maescool/Catacomb-Snatch,91
Esri/military-features-data,188
hibernate/hibernate-validator,893
sonatype/nexus,831
MinecraftForge/MinecraftForge,4975
pentaho/pentaho-commons-gwt-modules,375
caelum/mamute,54
Talend/tcommon-studio-se,1701
collectionspace/application,38
resteasy/Resteasy,1368
igniterealtime/Openfire,706
asciidoctor/asciidoctorj,321
square/retrofit,253
gxa/gxa,166
JetBrains/kotlin,766
ippontech/tatami,316
square/dagger,428
floodlight/floodlight,294
sonatype/nexus,604
pac4j/pac4j,1256
Realm/realm-java,5113
duckduckgo/android,274
igniterealtime/Spark,82
ReactiveX/RxJava,4833
GoogleCloudPlatform/appengine-java-vm-runtime,286
HubSpot/Singularity,680
hazelcast/hazelcast-simulator,381
Rajawali/Rajawali,1486
igniterealtime/Openfire,749
jenkinsci/jira-plugin,126
jbosstools/jbosstools-server,49
TexasDigitalLibrary/Vireo,556
FenixEdu/bennu,286
telefonicaid/fiware-sdc,110
molgenis/molgenis,204
ControlSystemStudio/cs-studio,1427
pushtorefresh/storio,160
rundeck/rundeck,3724
unchartedsoftware/aperture-tiles,161
tastybento/askyblock,594
gdg-x/frisbee,703
Netflix/Hystrix,1093
pcgen/pcgen,5107
CMPUT301F14T14/android-question-answer-app,171
mcMMO-Dev/mcMMO,409
researchstudio-sat/webofneeds,1213
uwescience/myria,613
gradle/gradle,6768
capedwarf/capedwarf-blue,186
apache/curator,93
apache/jena,293
appium/java-client,630
appium/appium-adb,198
appium/appium-adb,423
spockframework/spock,900
kaazing/gateway,571
serenity-bdd/serenity-core,196
wso2/product-greg,580
querydsl/querydsl,2093
kbase/workspace,88
apache/incubator-brooklyn,775
Thaumic-Tinkerer/ThaumicTinkerer,195
stripe/stripe-java,621
apache/incubator-brooklyn,1108
quickfix-j/quickfixj,152
rackerlabs/repose,1660
kaazing/gateway,548
hibernate/hibernate-search,326
apache/incubator-brooklyn,748
aerogear/aerogear-unifiedpush-server,996
bugsnag/bugsnag-android,411
broadinstitute/picard,588
rollerderby/scoreboard,149
infinispan/infinispan,5828
hibernate/hibernate-validator,275
strongbox/strongbox,56
joelittlejohn/jsonschema2pojo,225
OpenNMS/opennms,1550
jenkinsci/jclouds-plugin,48
DSpace/DSpace,2066
researchstudio-sat/webofneeds,1070
EmilHernvall/tregmine,98
wildfly/wildfly,11485
stripe/stripe-android,133
joelittlejohn/jsonschema2pojo,135
neo4j/neo4j,11459
OpenClinica/OpenClinica,1511
syncthing/syncthing-android,1281
TGAC/miso-lims,1557
rackerlabs/blueflood,384
matrix-org/matrix-android-sdk,345
KronicDeth/intellij-elixir,246
Adobe-Consulting-Services/acs-aem-commons,655
release-engineering/pom-manipulation-ext,150
MovingBlocks/Terasology,2666
crawljax/crawljax,141
geotools/geotools,1843
kuali/kc,1552
apache/accumulo,821
pentaho/modeler,61
google/auto,149
serenity-bdd/serenity-core,253
CU-CommunityApps/cu-kfs,418
obiba/mica2,1509
linkedin/camus,14
gradle/gradle,6516
Adobe-Consulting-Services/acs-aem-commons,571
addthis/hydra,116
xetorthio/jedis,1617
openmicroscopy/bioformats,2703
bugsnag/bugsnag-android,430
googlegenomics/dataflow-java,96
square/keywhiz,27
JabRef/jabref,4601
atlasapi/atlas,323
ArcBees/GWTP,213
lightblue-platform/lightblue-client,58
embulk/embulk,505
HubSpot/Singularity,1500
spotify/helios,851
stagemonitor/stagemonitor,125
woorea/openstack-java-sdk,207
FlansMods/FlansMod,988
crawljax/crawljax,327
terasolunaorg/terasoluna-gfw-functionaltest,44
DigitalPebble/storm-crawler,589
togglz/togglz,253
deeplearning4j/nd4j,2654
flightstats/hub,88
jmxtrans/jmxtrans,357
ninjaframework/ninja,90
DroidPlanner/Tower,1067
OpenNMS/opennms,1437
pgjdbc/pgjdbc,1112
mybatis/generator,91
cbeust/testng,265
apache/struts,60
DSpace/DSpace,1092
motech/modules,444
searchbox-io/Jest,550
matrix-org/matrix-android-sdk,232
Qabel/qabel-core,661
ninjaframework/ninja,189
hibernate/hibernate-ogm,574
jenkinsci/git-client-plugin,379
immutables/immutables,845
CS340Group/hit,28
hazelcast/hazelcast,13191
mozilla/MozStumbler,1755
magefree/mage,4241
flightstats/hub,224
dana-i2cat/opennaas,773
KronicDeth/intellij-elixir,316
MinecraftForge/MinecraftForge,3893
52North/SensorWebClient,110
caelum/vraptor,571
netty/netty,8749
apache/storm,2685
joelittlejohn/jsonschema2pojo,599
apache/incubator-brooklyn,263
AEFeinstein/mtg-familiar,266
Netflix/Priam,713
wso2/carbon-deployment,289
elastic/elasticsearch,36738
torquebox/torquebox,60
geotools/geotools,1522
e-ucm/ead,36
MovingBlocks/Terasology,2085
enonic/xp,5226
OpenMRS/openmrs-module-webservices.rest,53
dropwizard/metrics,584
atlasapi/atlas,1107
appium/appium-adb,294
OCHA-DAP/DAP-System,38
qiniu/java-sdk,115
jbosstools/jbosstools-forge,110
AxonFramework/AxonFramework,869
beanvalidation/beanvalidation-tck,57
gradle/gradle,7585
getlantern/lantern,2879
spotify/docker-maven-plugin,43
unclebob/fitnesse,561
wso2/product-greg,480
Awful/Awful.apk,259
ReactiveX/RxJava,4932
jMonkeyEngine/jmonkeyengine,196
hibernate/hibernate-validator,707
connectbot/connectbot,184
xwiki/xwiki-platform,863
broadinstitute/picard,811
ReactiveX/RxJava,5571
neo4j/neo4j,10938
tvrenamer/tvrenamer,250
jenkinsci/support-core-plugin,147
xetorthio/jedis,737
dana-i2cat/opennaas,304
motech/modules,430
steveswinsburg/gradebookNG,217
JetBrains/jediterm,104
JetBrains/kotlin,43
selendroid/selendroid,216
rzwitserloot/lombok,21
hltfbk/Excitement-Open-Platform,246
DroidPlanner/Tower,401
confluentinc/schema-registry,169
Activiti/Activiti,603
RPTools/maptool,15
Azure/azure-sdk-for-java,1629
SpoutDev/Vanilla,629
OpenRefine/OpenRefine,1754
JabRef/jabref,3287
pentaho/data-access,744
dana-i2cat/opennaas,985
springfox/springfox,1517
airbnb/airpal,86
sialcasa/mvvmFX,228
wildfly-security/wildfly-elytron,163
broadinstitute/picard,1066
internetarchive/heritrix3,215
jitsi/jicofo,142
ArcBees/GWTP,256
eXist-db/exist,879
yegor256/netbout,650
DenizenScript/Denizen-for-Bukkit,907
Activiti/Activiti,1099
rackerlabs/blueflood,647
linkedin/camus,45
xwiki/xwiki-platform,424
Glitchfiend/BiomesOPlenty,579
terasolunaorg/terasoluna-tourreservation-mybatis3,193
OpenClinica/OpenClinica,1406
embulk/embulk,1037
dana-i2cat/opennaas,652
JabRef/jabref,4136
kamegami13/MonsterHunter4UDatabase,89
greenqloud/cloudstack,74
Realm/realm-java,4985
bndtools/bnd,2867
bndtools/bndtools,1524
SonarSource/sonar-java,2096
liferay/liferay-docs,259
FlansMods/FlansMod,1004
getlantern/lantern,3196
KronicDeth/intellij-elixir,758
hibernate/hibernate-search,139
siddhi-io/siddhi,194
SleepyTrousers/EnderIO,1223
neo4j/neo4j,11286
dana-i2cat/opennaas,512
jacoco/jacoco,171
JacORB/JacORB,40
apache/struts,186
ControlSystemStudio/cs-studio,1090
umd-lib/drum,87
teiid/teiid,2
liveoak-io/liveoak,109
unchartedsoftware/aperture-tiles,44
sanger-pathogens/Artemis,265
perfectsense/brightspot-cms,320
mozilla/MozStumbler,87
HubSpot/Singularity,1138
Crate/crate,7394
google/truth,5
eclipse/californium,288
intel-hadoop/HiBench,507
jitsi/jitsi-videobridge,299
couchbase/couchbase-lite-java-core,627
motech/modules,424
kamegami13/MonsterHunter4UDatabase,109
getlantern/lantern,3149
molgenis/systemsgenetics,183
antlr/antlr4,495
azkaban/azkaban,2138
ProjectKorra/ProjectKorra,306
perfectsense/brightspot-cms,1165
Sage-Bionetworks/BridgePF,932
pentaho/data-access,567
biojava/biojava,654
KronicDeth/intellij-elixir,477
molgenis/molgenis,406
temenostech/IRIS,107
teiid/teiid,234
StephenBlackWasAlreadyTaken/xDrip-Experimental,313
wso2/orbit,136
gradle/gradle,7352
k3po/k3po,19
flightstats/hub,63
antlr/antlr4,1942
openpixi/openpixi,13
querydsl/querydsl,1489
mockito/mockito,1462
oasp/oasp4j,504
AzureAD/azure-activedirectory-library-for-android,608
eishub/BW4T,107
rackerlabs/repose,993
jenkinsci/remoting,283
iipc/openwayback,157
geotools/geotools,1317
CloudSlang/score,11
quran/quran,358
researchstudio-sat/webofneeds,1797
deeplearning4j/deeplearning4j,5844
jenkinsci/remoting,32
mambu-gmbh/Mambu-APIs-Java,169
forcedotcom/SalesforceMobileSDK-Android,790
Graylog2/graylog2-server,4458
imglib/imglib2,207
UniversalMediaServer/UniversalMediaServer,1432
elastic/elasticsearch,36918
hazelcast/hazelcast-code-samples,291
freenet/fred,163
ushahidi/SMSSync,446
protostuff/protostuff,99
Glitchfiend/BiomesOPlenty,462
gxa/gxa,289
charite/jannovar,93
gradle/gradle,6972
eirslett/frontend-maven-plugin,347
novoda/merlin,45
Graylog2/graylog2-server,4282
aol/micro-server,293
CHIRDL-Openmrs-Modules/chica,142
Netflix/governator,167
SpectraLogic/ds3,352
spotify/helios,112
dianping/cat,9
msgpack/msgpack-java,329
jenkinsci/remoting,125
awslabs/amazon-kinesis-client,490
icplayer/icplayer,237
septadev/SEPTA-Android,6
hazelcast/hazelcast-simulator,545
imagej/imagej-ops,334
JabRef/jabref,3078
Netflix/Priam,779
MassBayCS225/EMS,79
FenixEdu/fenixedu-academic,664
samarthgupta437/falcon-regression,124
teamed/qulice,459
pac4j/pac4j,1157
lobid/lodmill,780
perfectsense/brightspot-cms,121
dropwizard/dropwizard,2549
dana-i2cat/opennaas,813
Azure/azure-sdk-for-java,2954
Bioinformatics-UA/dicoogle,10
apache/accumulo,793
cgeo/cgeo,2968
gdg-x/frisbee,593
kaazing/gateway,57
neo4j/neo4j-ogm,610
brooklyncentral/brooklyn,954
caelum/vraptor4,157
groovy/groovy-core,304
jMetal/jMetal,264
JetBrains/kotlin,296
wso2/carbon-business-process,399
FenixEdu/fenixedu-academic,1233
GlowstoneMC/Glowstone,894
HubSpot/jinjava,97
resteasy/Resteasy,776
skyscreamer/yoga,176
obiba/magma,83
rectangle-dbmi/Realtime-Port-Authority,127
apache/cxf,351
teiid/teiid,330
flightstats/hub,841
pcgen/pcgen,4293
TGAC/miso-lims,880
sonatype/nexus,588
sonatype/nexus,32
gdg-x/frisbee,589
eXist-db/exist,948
apache/jena,482
Esri/arcgis-runtime-samples-android,441
MinecraftForge/MinecraftForge,4964
reactive-streams/reactive-streams-jvm,189
addthis/hydra,169
appium/appium-adb,312
Swrve/swrve-android-sdk,202
bugsnag/bugsnag-android,254
bitstadium/HockeySDK-Android,72
hltfbk/Excitement-Open-Platform,34
sanger-pathogens/Artemis,213
georchestra/georchestra,2287
pentaho/pentaho-reporting,1189
